r [m]	R_1(r) [∛(1/m)] 		R_2(r) [∛(1/m)] 		R_3(r) [∛(1/m)] 		R_4(r) [∛(1/m)] 		R_5(r) [∛(1/m)] 		R_6(r) [∛(1/m)] 		R_7(r) [∛(1/m)] 		R_8(r) [∛(1/m)] 		R_9(r) [∛(1/m)] 		R_10(r) [∛(1/m)] 		R_11(r) [∛(1/m)] 		R_12(r) [∛(1/m)] 		R_13(r) [∛(1/m)] 		R_14(r) [∛(1/m)] 		R_15(r) [∛(1/m)] 		R_16(r) [∛(1/m)] 		R_17(r) [∛(1/m)] 		R_18(r) [∛(1/m)] 		R_19(r) [∛(1/m)] 		R_20(r) [∛(1/m)] 	
3.701838E-10 [ 1.21290768e+14  4.53545175e+14 -4.56080313e+14  4.96125424e+14
  5.33222658e+14 -2.45877781e+14  5.98945438e+14  6.33245746e+14
 -4.32105907e+14  6.53355591e+14 -6.13649781e+14  6.99703730e+14
 -6.66393030e+14  7.15965315e+14 -4.65930537e+14  7.44943942e+14
 -4.73454191e+14  7.53773359e+14 -6.14600001e+14  8.02443287e+14]
3.701937E-10 [ 1.21290793e+14  4.53544255e+14 -4.56077474e+14  4.96119316e+14
  5.33211755e+14 -2.45864899e+14  5.98918914e+14  6.33209007e+14
 -4.32062204e+14  6.53291603e+14 -6.13569855e+14  6.99604990e+14
 -6.66272854e+14  7.15822102e+14 -4.65789712e+14  7.44747810e+14
 -4.73267745e+14  7.53514784e+14 -6.14327391e+14  8.02117872e+14]
3.702038E-10 [ 1.21290820e+14  4.53543263e+14 -4.56074414e+14  4.96112732e+14
  5.33200001e+14 -2.45851013e+14  5.98890322e+14  6.33169404e+14
 -4.32015093e+14  6.53222625e+14 -6.13483697e+14  6.99498553e+14
 -6.66143311e+14  7.15667730e+14 -4.65637917e+14  7.44536401e+14
 -4.73066782e+14  7.53236077e+14 -6.14033565e+14  8.01767134e+14]
3.702141E-10 [ 1.21290849e+14  4.53542195e+14 -4.56071121e+14  4.96105648e+14
  5.33187354e+14 -2.45836072e+14  5.98859557e+14  6.33126792e+14
 -4.31964404e+14  6.53148409e+14 -6.13390997e+14  6.99384036e+14
 -6.66003936e+14  7.15501642e+14 -4.65474606e+14  7.44308956e+14
 -4.72850580e+14  7.52936240e+14 -6.13717469e+14  8.01389820e+14]
3.702247E-10 [ 1.21290880e+14  4.53541048e+14 -4.56067584e+14  4.96098039e+14
  5.33173770e+14 -2.45820025e+14  5.98826514e+14  6.33081025e+14
 -4.31909963e+14  6.53068700e+14 -6.13291439e+14  6.99261046e+14
 -6.65854252e+14  7.15323272e+14 -4.65299222e+14  7.44064699e+14
 -4.72618403e+14  7.52614252e+14 -6.13378030e+14  8.00984648e+14]
3.702356E-10 [ 1.21290914e+14  4.53539819e+14 -4.56063792e+14  4.96089880e+14
  5.33159206e+14 -2.45802819e+14  5.98791086e+14  6.33031954e+14
 -4.31851593e+14  6.52983239e+14 -6.13184696e+14  6.99129182e+14
 -6.65693770e+14  7.15132038e+14 -4.65111195e+14  7.43802836e+14
 -4.72369499e+14  7.52269071e+14 -6.13014150e+14  8.00550309e+14]
3.702467E-10 [ 1.21290949e+14  4.53538503e+14 -4.56059732e+14  4.96081147e+14
  5.33143615e+14 -2.45784401e+14  5.98753161e+14  6.32979425e+14
 -4.31789112e+14  6.52891757e+14 -6.13070436e+14  6.98988034e+14
 -6.65521994e+14  7.14927348e+14 -4.64909942e+14  7.43522558e+14
 -4.72103098e+14  7.51899631e+14 -6.12624709e+14  8.00085469e+14]
3.702580E-10 [ 1.21290987e+14  4.53537096e+14 -4.56055393e+14  4.96071812e+14
  5.33126951e+14 -2.45764716e+14  5.98712626e+14  6.32923283e+14
 -4.31722334e+14  6.52793985e+14 -6.12948322e+14  6.98837185e+14
 -6.65338413e+14  7.14708596e+14 -4.64694870e+14  7.43223038e+14
 -4.71818417e+14  7.51504847e+14 -6.12208564e+14  7.99588765e+14]
3.702696E-10 [ 1.21291028e+14  4.53535595e+14 -4.56050762e+14  4.96061850e+14
  5.33109166e+14 -2.45743707e+14  5.98669367e+14  6.32863368e+14
 -4.31651069e+14  6.52689645e+14 -6.12818006e+14  6.98676206e+14
 -6.65142510e+14  7.14475165e+14 -4.64465372e+14  7.42903432e+14
 -4.71514656e+14  7.51083610e+14 -6.11764550e+14  7.99058808e+14]
3.702815E-10 [ 1.21291071e+14  4.53533995e+14 -4.56045827e+14  4.96051232e+14
  5.33090212e+14 -2.45721319e+14  5.98623266e+14  6.32799516e+14
 -4.31575124e+14  6.52578453e+14 -6.12679136e+14  6.98504662e+14
 -6.64933755e+14  7.14226424e+14 -4.64220831e+14  7.42562881e+14
 -4.71190999e+14  7.50634793e+14 -6.11291480e+14  7.98494186e+14]
3.702936E-10 [ 1.21291118e+14  4.53532292e+14 -4.56040574e+14  4.96039933e+14
  5.33070041e+14 -2.45697492e+14  5.98574202e+14  6.32731562e+14
